Activity,PricePerCoin,Time,Date,Unix,Order,Amount,Coin,Source
Buy,36063.26,5/21/2021 4:05 PM,2021-05-21 00:00:00,1621584300,25.00,0.00065191,btc,Coinbase
Buy,37124.36,5/22/21 6:23,2021-05-22 00:00:00,1621678980,100.02,0.002694,btc,Binance
Mine,37282.83,22 May 21 6:20,2021-05-22 00:00:00,1621678800,0,0.00338863,btc,Nicehash
Mine,37660,24 May 21 10:54,2021-05-24 00:00:00,1621868040,0,0.00141361,btc,Nicehash
Buy,39609.02,5/24/2021 9:05 PM,2021-05-24 00:00:00,1621904700,600,0.01492564,btc,Coinbase
Mine,39609.02,24 May 21 10:54,2021-05-24 00:00:00,1621868040,0,0.00141220,btc,Nicehash
Buy,39478.43,5/24/21 15:53,2021-05-24 00:00:00,1621885980,600,0.015178,btc,Binance
Mine,37504,26 May 21 23:13,2021-05-26 00:00:00,1622085180,0,0.00153242,btc,Nicehash
Buy (401k),38952.12,2021-05-27 13:16:00,2021-05-27 00:00:00,1622135760,240,0.006167,btc,Binance
Buy,35607.62,2021-05-28 07:56:00,2021-05-28 00:00:00,1622202960,50,0.001406,btc,Binance
Mine,0,28 May 02 21:59,2021-05-28 00:00:00,1622202960,0,0.00119434,btc,Nicehash
Buy,0.17,3 23 2021 23:53:17,2021-03-23 00:00:00,1616472000,50.00,284.4,one,Binance
Buy,0.1456,4/13/21 12:41,2021-04-13 00:00:00,1618286400,52.5033,360.6,one,Binance
Buy,0.0974,4/21/23 22:19,2021-04-21 00:00:00,1618977600,48.6998,500,one,Binance
Buy,0.0838,5/29/21,2021-05-29 00:00:00,1622260800,99.9985,1193.3,one,Binance
Buy,0.0953,5/30/21 7:41,2021-05-30 00:00:00,1622347200,99.9697,1049,one,Binance
Buy,0.3955,2/7/2021 6:24 AM,2021-02-07 00:00:00,1612674000,200,498.0673629,xlm,Coinbase
Coinbase reward,0.42,2/7/2021 8:54 AM,2021-02-07 00:00:00,1612674000,0,4.8080044,xlm,Coinbase
Coinbase reward,0.42,2/7/2021 8:57 AM,2021-02-07 00:00:00,1612674000,0,4.8076923,xlm,Coinbase
Coinbase reward,0.42,2/7/2021 8:57 AM,2021-02-07 00:00:00,1612674000,0,4.842873,xlm,Coinbase
Coinbase reward,0.42,2/7/2021 8:57 AM,2021-02-07 00:00:00,1612674000,0,4.9148865,xlm,Coinbase
Coinbase reward,0.42,2/7/2021 8:57 AM,2021-02-07 00:00:00,1612674000,0,4.950446,xlm,Coinbase
Buy,0.41,3/11/2021 4:14 PM,2021-03-11 00:00:00,1615438800,70,163.2106668,xlm,Coinbase
Sell xlm for cro,,3/11/21 4:00 PM,2021-03-11 00:00:00,1615438800,-27.32,-67.44,xlm,To crypto.com
Buy cro from xlm,,3/11/21 4:00 PM,2021-03-11 00:00:00,1615438800,27.32,145.23419399,cro,crypto.com
Sell cro for rvn,,3/11/21 4:00 PM,2021-03-11 00:00:00,1615438800,-26.83,-144.600165,cro,crypto.com
Buy rvn from cro,,3/11/21 4:00 PM,2021-03-11 00:00:00,1615438800,26.83,150,rvn,crypto.com
Sell xlm for cro,,3/11/21 4:18 PM,2021-03-11 00:00:00,1615438800,-49.76,-123,xlm,To crypto.com
